"","HAGRID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Common.name","Maximum.longevity.yrs","Body.mass.g","Metabolic.rate","Temperature"
"4",18,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","americanus","American toad",36,21.6,0.00829,288
"12",26,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","terrestris","Southern toad",10,19.2,0.00698,288
"22",36,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","marina","Cane toad",24.8,105,0.0303,293
"46",60,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","versicolor","Gray treefrog",7.8,6.97,0.00433,290.5
"71",85,"Animalia","Chordata","Amphibia","Anura","Pipidae","Xenopus","laevis","African clawed frog",30.3,63.6,0.012,288
"74",88,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","catesbeianus","American bullfrog",16,51.2,0.0134,288
"76",90,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","pipiens","Northern leopard frog",9,21.6,0.00576,289.78
"78",92,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","sylvaticus","Wood frog",5,7.8,0.00416,289.8
"97",111,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","maculatum","Spotted salamander",32,12.8,0.005,290
"103",117,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","tigrinum","Tiger salamander",25,3.21,0.00196,291
"105",119,"Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","means","Two-toed amphiuma",27,199,0.00904,288
"109",123,"Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","Cryptobranchus","alleganiensis","Hellbender",29,358,0.0253,288
"124",138,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","quadramaculatus","Black-bellied salamander",15,14.1,0.00411,288
"135",149,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","cinereus","Eastern red-backed salamander",25,0.76,9.9e-05,278.5
"138",152,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","glutinosus","Northern slimy salamander",20.1,4.2,0.00191,288
"161",175,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Salamandra","salamandra","European fire salamander",24,19.1,0.00857,288
"764",779,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","canaria","House canary",24,13.3,0.230065,314.15
"1246",1262,"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Melopsittacus","undulatus","Budgerigar",21,25.2,0.3035,314.15
"1523",1542,"Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Echinops","telfairi","Lesser hedgehog tenrec",19,116.4,0.75,307.85
"1525",1544,"Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Hemicentetes","semispinosus","Streaked tenrec",2.7,116.4,0.38,308.15
"1526",1545,"Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Microgale","dobsoni","Dobson's shrew tenrec",5.6,44.6,0.315,304.05
"1527",1546,"Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Microgale","talazaci","Talazac's shrew tenrec",5.8,44,0.243,303.95
"1528",1547,"Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Setifer","setosus","Greater hedgehog tenrec",14.1,427.6,0.573,305.35
"1529",1548,"Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Tenrec","ecaudatus","Tenrec",8.7,650,0.729,306.15
"1530",1549,"Animalia","Chordata","Mammalia","Artiodactyla","Antilocapridae","Antilocapra","americana","Pronghorn",15.5,34779.3,50.973,311.15
"1545",1564,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","Domestic cattle",20,347000,306.77,311.15
"1572",1591,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus","Blue wildebeest",24.3,196500,230.073,311.15
"1589",1608,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Kobus","ellipsiprymnus","Waterbuck",30,1e+05,148.949,311.85
"1595",1614,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Madoqua","kirkii","Kirk's dik-dik",17.3,4290,11.966,312.15
"1613",1632,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","canadensis","Bighorn sheep",20.6,67030.8,114.674,311.15
"1617",1636,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Philantomba","monticola","Blue duiker",15.9,4200,10.075,312.55
"1620",1639,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Raphicerus","campestris","Steenbok",9.3,9600,20.619,312.55
"1631",1650,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Taurotragus","oryx","Eland",26.1,141404,190.209,309.65
"1640",1659,"Animalia","Chordata","Mammalia","Artiodactyla","Camelidae","Camelus","dromedarius","Dromedary",28.4,407000,224.779,310.65
"1641",1660,"Animalia","Chordata","Mammalia","Artiodactyla","Camelidae","Lama","glama","Llama",28.9,115000,148.94,311.45
"1651",1671,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Capreolus","capreolus","Western roe deer",17.5,21500,46.347,311.15
"1653",1673,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","elaphus","Red deer",31.5,67000,112.43,308.35
"1668",1688,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","virginianus","White-tailed deer",23,61862.5,123.447,312.15
"1672",1692,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Rangifer","tarandus","Caribou and reindeer",21.8,85000,119.66,310.35
"1693",1713,"Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","Wild boar",27,135000,104.15,312.15
"1696",1716,"Animalia","Chordata","Mammalia","Artiodactyla","Tayassuidae","Pecari","tajacu","Collared peccary",31.5,20500,33.165,310.65
"1700",1720,"Animalia","Chordata","Mammalia","Artiodactyla","Tragulidae","Tragulus","javanicus","Lesser mouse-deer",14,1615.5,4.883,311.55
"1702",1722,"Animalia","Chordata","Mammalia","Carnivora","Ailuridae","Ailurus","fulgens","Red panda",19,5740,4.898,310.75
